,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
voter_share_nation[0],0.326,0.017,0.298,0.354,0.0,0.0,73431.0,31292.0,1.0
voter_share_nation[1],0.167,0.014,0.144,0.189,0.0,0.0,72515.0,31715.0,1.0
voter_share_nation[2],0.127,0.012,0.107,0.147,0.0,0.0,62583.0,31502.0,1.0
voter_share_nation[3],0.031,0.006,0.02,0.041,0.0,0.0,43049.0,29920.0,1.0
voter_share_nation[4],0.044,0.007,0.031,0.055,0.0,0.0,43506.0,30275.0,1.0
voter_share_nation[5],0.208,0.015,0.184,0.232,0.0,0.0,71545.0,32707.0,1.0
voter_share_nation[6],0.037,0.007,0.026,0.048,0.0,0.0,46841.0,31094.0,1.0
voter_share_nation[7],0.06,0.009,0.046,0.074,0.0,0.0,41991.0,33327.0,1.0
