,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
voter_share_nation[0],0.285,0.005,0.276,0.293,0.0,0.0,39092.0,31912.0,1.0
voter_share_nation[1],0.202,0.005,0.194,0.209,0.0,0.0,36991.0,31897.0,1.0
voter_share_nation[2],0.128,0.004,0.121,0.134,0.0,0.0,38119.0,31671.0,1.0
voter_share_nation[3],0.073,0.003,0.068,0.078,0.0,0.0,36323.0,30073.0,1.0
voter_share_nation[4],0.04,0.002,0.036,0.044,0.0,0.0,29114.0,28177.0,1.0
voter_share_nation[5],0.148,0.004,0.142,0.155,0.0,0.0,35268.0,31730.0,1.0
voter_share_nation[6],0.041,0.002,0.037,0.044,0.0,0.0,31197.0,28465.0,1.0
voter_share_nation[7],0.085,0.003,0.079,0.09,0.0,0.0,43329.0,35585.0,1.0
