,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
voter_share_nation[0],0.329,0.018,0.3,0.359,0.0,0.0,79660.0,31150.0,1.0
voter_share_nation[1],0.164,0.014,0.141,0.187,0.0,0.0,71014.0,29643.0,1.0
voter_share_nation[2],0.127,0.013,0.107,0.148,0.0,0.0,68726.0,29336.0,1.0
voter_share_nation[3],0.027,0.006,0.017,0.037,0.0,0.0,41549.0,29975.0,1.0
voter_share_nation[4],0.044,0.008,0.031,0.057,0.0,0.0,50187.0,30877.0,1.0
voter_share_nation[5],0.214,0.016,0.188,0.239,0.0,0.0,76896.0,31288.0,1.0
voter_share_nation[6],0.037,0.007,0.025,0.048,0.0,0.0,50397.0,31218.0,1.0
voter_share_nation[7],0.057,0.009,0.043,0.072,0.0,0.0,40348.0,31472.0,1.0
