,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
voter_share_nation[0],0.328,0.018,0.3,0.357,0.0,0.0,77959.0,29643.0,1.0
voter_share_nation[1],0.166,0.014,0.143,0.188,0.0,0.0,84839.0,30701.0,1.0
voter_share_nation[2],0.127,0.012,0.107,0.148,0.0,0.0,75694.0,29106.0,1.0
voter_share_nation[3],0.029,0.006,0.018,0.038,0.0,0.0,46717.0,30642.0,1.0
voter_share_nation[4],0.044,0.008,0.031,0.056,0.0,0.0,52317.0,31407.0,1.0
voter_share_nation[5],0.211,0.015,0.186,0.236,0.0,0.0,79539.0,31645.0,1.0
voter_share_nation[6],0.037,0.007,0.025,0.048,0.0,0.0,51266.0,30593.0,1.0
voter_share_nation[7],0.058,0.009,0.044,0.073,0.0,0.0,40731.0,32875.0,1.0
