,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
voter_share_nation[0],0.306,0.013,0.285,0.326,0.0,0.0,47191.0,32032.0,1.0
voter_share_nation[1],0.184,0.011,0.167,0.202,0.0,0.0,41057.0,32292.0,1.0
voter_share_nation[2],0.128,0.009,0.113,0.143,0.0,0.0,42379.0,32791.0,1.0
voter_share_nation[3],0.051,0.006,0.041,0.061,0.0,0.0,33149.0,29612.0,1.0
voter_share_nation[4],0.042,0.005,0.033,0.051,0.0,0.0,32983.0,29573.0,1.0
voter_share_nation[5],0.178,0.01,0.161,0.195,0.0,0.0,47697.0,33391.0,1.0
voter_share_nation[6],0.039,0.005,0.03,0.048,0.0,0.0,33389.0,29724.0,1.0
voter_share_nation[7],0.072,0.007,0.06,0.083,0.0,0.0,43227.0,34630.0,1.0
