,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
voter_share_nation[0],0.33,0.018,0.301,0.36,0.0,0.0,56486.0,29970.0,1.0
voter_share_nation[1],0.164,0.014,0.14,0.187,0.0,0.0,56690.0,30896.0,1.0
voter_share_nation[2],0.127,0.013,0.106,0.148,0.0,0.0,52583.0,30568.0,1.0
voter_share_nation[3],0.027,0.006,0.016,0.036,0.0,0.0,29840.0,26323.0,1.0
voter_share_nation[4],0.044,0.008,0.031,0.057,0.0,0.0,33356.0,26832.0,1.0
voter_share_nation[5],0.215,0.016,0.189,0.24,0.0,0.0,55038.0,31052.0,1.0
voter_share_nation[6],0.037,0.007,0.025,0.048,0.0,0.0,36237.0,27973.0,1.0
voter_share_nation[7],0.057,0.009,0.043,0.072,0.0,0.0,39914.0,31770.0,1.0
