,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
voter_share_nation[0],0.322,0.016,0.296,0.35,0.0,0.0,46969.0,33778.0,1.0
voter_share_nation[1],0.171,0.013,0.149,0.193,0.0,0.0,45012.0,30428.0,1.0
voter_share_nation[2],0.128,0.012,0.109,0.147,0.0,0.0,42078.0,33420.0,1.0
voter_share_nation[3],0.034,0.006,0.023,0.044,0.0,0.0,30272.0,25003.0,1.0
voter_share_nation[4],0.043,0.007,0.032,0.055,0.0,0.0,32827.0,28576.0,1.0
voter_share_nation[5],0.203,0.014,0.18,0.225,0.0,0.0,46439.0,33008.0,1.0
voter_share_nation[6],0.037,0.007,0.026,0.048,0.0,0.0,33938.0,29235.0,1.0
voter_share_nation[7],0.062,0.008,0.048,0.075,0.0,0.0,42311.0,34821.0,1.0
