,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
voter_share_nation[0],0.329,0.018,0.3,0.358,0.0,0.0,91313.0,30307.0,1.0
voter_share_nation[1],0.165,0.014,0.142,0.188,0.0,0.0,77393.0,30671.0,1.0
voter_share_nation[2],0.127,0.013,0.107,0.148,0.0,0.0,76607.0,31364.0,1.0
voter_share_nation[3],0.028,0.006,0.017,0.037,0.0,0.0,42921.0,30033.0,1.0
voter_share_nation[4],0.044,0.008,0.031,0.056,0.0,0.0,48139.0,30827.0,1.0
voter_share_nation[5],0.213,0.015,0.187,0.238,0.0,0.0,74924.0,31023.0,1.0
voter_share_nation[6],0.037,0.007,0.025,0.048,0.0,0.0,50770.0,31714.0,1.0
voter_share_nation[7],0.058,0.009,0.043,0.072,0.0,0.0,41062.0,32362.0,1.0
