,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
voter_share_nation[0],0.297,0.015,0.269,0.326,0.0,0.0,61423.0,31549.0,1.0
voter_share_nation[1],0.16,0.012,0.137,0.182,0.0,0.0,59719.0,30616.0,1.0
voter_share_nation[2],0.131,0.011,0.11,0.152,0.0,0.0,63223.0,30144.0,1.0
voter_share_nation[3],0.047,0.007,0.034,0.06,0.0,0.0,54986.0,29528.0,1.0
voter_share_nation[4],0.069,0.008,0.054,0.084,0.0,0.0,55753.0,28460.0,1.0
voter_share_nation[5],0.198,0.013,0.174,0.223,0.0,0.0,63122.0,29887.0,1.0
voter_share_nation[6],0.046,0.007,0.033,0.059,0.0,0.0,53937.0,28666.0,1.0
voter_share_nation[7],0.052,0.007,0.039,0.065,0.0,0.0,46967.0,32773.0,1.0
