,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha_nation[0],29.295,3.415,23.629,34.773,0.014,0.017,57904.0,31467.0,1.0
alpha_nation[1],19.244,2.617,14.959,23.54,0.011,0.013,51772.0,31044.0,1.0
alpha_nation[2],12.908,2.182,9.331,16.408,0.009,0.011,62398.0,32383.0,1.0
alpha_nation[3],6.616,1.449,4.267,8.949,0.006,0.008,58359.0,29046.0,1.0
alpha_nation[4],3.693,1.091,1.885,5.362,0.004,0.006,58142.0,28360.0,1.0
alpha_nation[5],15.657,2.494,11.545,19.695,0.01,0.014,66319.0,29510.0,1.0
alpha_nation[6],4.8,1.348,2.574,6.918,0.005,0.007,59899.0,28961.0,1.0
alpha_nation[7],8.332,1.695,5.604,11.125,0.007,0.009,61086.0,28180.0,1.0
voter_share_nation[0],0.315,0.016,0.289,0.342,0.0,0.0,60066.0,32304.0,1.0
voter_share_nation[1],0.165,0.013,0.143,0.186,0.0,0.0,60164.0,31955.0,1.0
voter_share_nation[2],0.128,0.012,0.108,0.147,0.0,0.0,61182.0,29905.0,1.0
voter_share_nation[3],0.045,0.007,0.032,0.056,0.0,0.0,45450.0,30658.0,1.0
voter_share_nation[4],0.029,0.006,0.02,0.039,0.0,0.0,33621.0,29343.0,1.0
voter_share_nation[5],0.185,0.014,0.164,0.208,0.0,0.0,60225.0,32100.0,1.0
voter_share_nation[6],0.06,0.008,0.046,0.074,0.0,0.0,52534.0,31694.0,1.0
voter_share_nation[7],0.073,0.009,0.058,0.087,0.0,0.0,41446.0,32987.0,1.0
