,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha_nation[0],29.514,3.41,23.9,35.057,0.014,0.017,55073.0,30366.0,1.0
alpha_nation[1],19.138,2.599,14.884,23.354,0.011,0.013,53082.0,31390.0,1.0
alpha_nation[2],12.429,2.097,9.066,15.902,0.009,0.011,57695.0,29800.0,1.0
alpha_nation[3],6.546,1.429,4.22,8.852,0.006,0.007,49359.0,28544.0,1.0
alpha_nation[4],3.869,1.138,2.042,5.69,0.005,0.006,50066.0,28104.0,1.0
alpha_nation[5],15.467,2.434,11.383,19.315,0.01,0.012,59787.0,31922.0,1.0
alpha_nation[6],4.789,1.338,2.601,6.908,0.006,0.007,52049.0,27522.0,1.0
alpha_nation[7],8.796,1.757,5.796,11.533,0.007,0.009,57176.0,27891.0,1.0
voter_share_nation[0],0.323,0.015,0.297,0.347,0.0,0.0,65258.0,30648.0,1.0
voter_share_nation[1],0.162,0.012,0.141,0.181,0.0,0.0,64044.0,32421.0,1.0
voter_share_nation[2],0.114,0.01,0.097,0.131,0.0,0.0,52169.0,33335.0,1.0
voter_share_nation[3],0.043,0.007,0.032,0.054,0.0,0.0,42280.0,30415.0,1.0
voter_share_nation[4],0.034,0.006,0.024,0.043,0.0,0.0,38213.0,30712.0,1.0
voter_share_nation[5],0.179,0.012,0.159,0.2,0.0,0.0,60725.0,32295.0,1.0
voter_share_nation[6],0.06,0.008,0.047,0.072,0.0,0.0,46867.0,31930.0,1.0
voter_share_nation[7],0.086,0.009,0.071,0.101,0.0,0.0,41203.0,31033.0,1.0
