,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha_nation[0],29.322,3.417,23.714,34.874,0.013,0.018,67415.0,30607.0,1.0
alpha_nation[1],19.542,2.655,15.175,23.859,0.011,0.013,54906.0,30928.0,1.0
alpha_nation[2],12.735,2.146,9.124,16.113,0.009,0.011,55419.0,30552.0,1.0
alpha_nation[3],6.454,1.401,4.169,8.734,0.006,0.007,56230.0,30840.0,1.0
alpha_nation[4],3.8,1.112,1.997,5.551,0.005,0.006,49898.0,29052.0,1.0
alpha_nation[5],15.641,2.46,11.709,19.688,0.01,0.013,56330.0,31206.0,1.0
alpha_nation[6],4.64,1.3,2.506,6.684,0.006,0.007,50959.0,27270.0,1.0
alpha_nation[7],8.44,1.709,5.582,11.155,0.007,0.009,63516.0,28967.0,1.0
voter_share_nation[0],0.317,0.015,0.291,0.341,0.0,0.0,70318.0,32355.0,1.0
voter_share_nation[1],0.173,0.012,0.152,0.193,0.0,0.0,63587.0,30192.0,1.0
voter_share_nation[2],0.123,0.011,0.106,0.14,0.0,0.0,61656.0,32353.0,1.0
voter_share_nation[3],0.041,0.006,0.03,0.051,0.0,0.0,42785.0,30162.0,1.0
voter_share_nation[4],0.032,0.006,0.022,0.041,0.0,0.0,32856.0,28370.0,1.0
voter_share_nation[5],0.185,0.013,0.165,0.206,0.0,0.0,68302.0,31867.0,1.0
voter_share_nation[6],0.055,0.007,0.042,0.067,0.0,0.0,48779.0,30816.0,1.0
voter_share_nation[7],0.075,0.009,0.06,0.089,0.0,0.0,41755.0,32314.0,1.0
