,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha_nation[0],29.4,3.422,23.818,34.979,0.014,0.017,57065.0,31619.0,1.0
alpha_nation[1],19.048,2.603,14.704,23.159,0.011,0.013,53885.0,31873.0,1.0
alpha_nation[2],12.867,2.16,9.309,16.353,0.009,0.011,59470.0,30007.0,1.0
alpha_nation[3],6.558,1.434,4.195,8.832,0.006,0.007,55648.0,29948.0,1.0
alpha_nation[4],3.898,1.14,1.961,5.628,0.005,0.006,56104.0,29256.0,1.0
alpha_nation[5],15.385,2.409,11.594,19.474,0.01,0.012,56363.0,30032.0,1.0
alpha_nation[6],4.787,1.331,2.638,6.908,0.006,0.007,51341.0,28691.0,1.0
alpha_nation[7],8.658,1.734,5.772,11.397,0.006,0.009,71154.0,30110.0,1.0
voter_share_nation[0],0.318,0.016,0.292,0.344,0.0,0.0,63042.0,32358.0,1.0
voter_share_nation[1],0.16,0.012,0.139,0.18,0.0,0.0,55795.0,31281.0,1.0
voter_share_nation[2],0.127,0.011,0.108,0.145,0.0,0.0,54339.0,30883.0,1.0
voter_share_nation[3],0.043,0.007,0.032,0.055,0.0,0.0,40958.0,31581.0,1.0
voter_share_nation[4],0.035,0.006,0.024,0.045,0.0,0.0,35356.0,29220.0,1.0
voter_share_nation[5],0.177,0.013,0.156,0.199,0.0,0.0,54440.0,31057.0,1.0
voter_share_nation[6],0.059,0.008,0.046,0.072,0.0,0.0,48263.0,31432.0,1.0
voter_share_nation[7],0.082,0.009,0.066,0.097,0.0,0.0,41681.0,31778.0,1.0
