,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha_nation[0],28.894,3.36,23.245,34.235,0.014,0.017,61631.0,31195.0,1.0
alpha_nation[1],18.931,2.573,14.688,23.081,0.011,0.013,55827.0,32259.0,1.0
alpha_nation[2],13.178,2.208,9.518,16.719,0.009,0.012,67182.0,32077.0,1.0
alpha_nation[3],6.593,1.459,4.238,8.972,0.006,0.008,61101.0,29350.0,1.0
alpha_nation[4],3.921,1.152,2.062,5.76,0.004,0.006,63431.0,28727.0,1.0
alpha_nation[5],16.162,2.561,11.893,20.237,0.01,0.014,69984.0,30091.0,1.0
alpha_nation[6],4.645,1.307,2.524,6.731,0.006,0.007,51764.0,29225.0,1.0
alpha_nation[7],8.03,1.653,5.367,10.73,0.006,0.009,70919.0,26923.0,1.0
voter_share_nation[0],0.303,0.017,0.277,0.332,0.0,0.0,76149.0,32424.0,1.0
voter_share_nation[1],0.157,0.014,0.135,0.179,0.0,0.0,70825.0,31314.0,1.0
voter_share_nation[2],0.136,0.013,0.115,0.157,0.0,0.0,70266.0,32489.0,1.0
voter_share_nation[3],0.044,0.008,0.032,0.057,0.0,0.0,52100.0,30517.0,1.0
voter_share_nation[4],0.036,0.007,0.024,0.047,0.0,0.0,46624.0,30711.0,1.0
voter_share_nation[5],0.204,0.015,0.178,0.227,0.0,0.0,66330.0,30255.0,1.0
voter_share_nation[6],0.055,0.008,0.041,0.068,0.0,0.0,61553.0,31379.0,1.0
voter_share_nation[7],0.065,0.009,0.05,0.08,0.0,0.0,42040.0,33912.0,1.0
